PERIOD;SCENARIO;ENTITY;CENTER;DIVISION_CODE;AREA_CODE;FUNCTION_CODE;ORGANIZATION_CHART;CENTRALIZED_SOURCE_CENTER;FUNCTION_CODE_CENTRALIZED;ORGANIZATION_CHART_CENTRALIZED;OWN_SOURCE_CENTER;FUNCTION_CODE_OWN_COST;ORGANIZATION_CHART_OWN_COST;TAXONOMY_CODE;TAXONOMY_CORP;SPENT_TYPE;BUSINESS_AREA;GEOGRAPHY_CODE;GEOGRAPHY_CORP;COMPANY_CODE;PROJECT_CODE;LOCAL_CURRENCY_AMOUNT;AUDIT_CODE;AUDIT_DESCRIPTION_ES;AUDIT_DESCRIPTION_EN;EUROS_AMOUNT;HEADCOUNT;SETTLE_CODE;AUDIT_CORP
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;1357,365;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;1357,365;0;102983;01_DZN
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-8,591;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-8,591;0;102451;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-747,961;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-747,961;0;102845;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-30,606;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-30,606;0;103554;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-1380,34;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-1380,34;0;102971;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-45,165;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-45,165;0;103140;01_DZR
202506;C0401;9942023;0000;;;F00047;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-27,474;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-27,474;0;103676;01_DZR
202506;C0401;9942023;0000;;;F00050;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-618,22;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-618,22;0;103679;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-30827,419;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-30827,419;0;102318;01_DZR
202506;C0401;9942023;0000;;;F00020;O0000748;0000;F00063;O99999;0000;F00063;O99999;D0202020;D0202020;01;AN02010200;42023;42023;0;Pr_xxx;-834,174;A15;Ajuste Internegocios ASINT;Interbusiness Adjust;-834,174;0;102451;01_DZR
